City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Pagudpud,PH,2022-03-02 14:57:03,18.5616,120.7868,73.89,87,19,13.78
222,Andenes,NO,2022-03-02 14:57:04,69.3143,16.1194,35.58,75,75,23.02
223,Morgan City,US,2022-03-02 14:57:04,29.6994,-91.2068,60.01,49,37,3.15
224,Kawalu,ID,2022-03-02 14:57:05,-7.3817,108.2082,73.18,91,100,1.25
225,Emba,KZ,2022-03-02 14:57:05,48.8264,58.1442,15.55,88,36,6.85
226,Pisco,PE,2022-03-02 14:54:56,-13.7,-76.2167,75.25,73,100,5.75
227,Lai,TD,2022-03-02 14:57:06,9.3952,16.2989,104.65,7,6,5.03
228,Dikson,RU,2022-03-02 14:57:06,73.5069,80.5464,-16.67,100,100,6.15
229,Kadrina,EE,2022-03-02 14:58:06,59.3347,26.145,33.01,91,88,6.49
230,Gorontalo,ID,2022-03-02 14:58:07,0.5412,123.0595,75.16,96,86,3.91
231,Kharp,RU,2022-03-02 14:58:07,66.8014,65.8081,13.08,97,100,3.91
232,Biak,ID,2022-03-02 14:58:08,-0.9131,122.8766,77.67,84,85,4.52
233,Magura,RO,2022-03-02 14:58:08,45.2667,26.5833,41.63,67,93,2.44
234,Sakete,BJ,2022-03-02 14:58:09,6.7362,2.6587,86.94,41,100,11.99
235,Noumea,NC,2022-03-02 14:58:09,-22.2763,166.4572,79.0,99,59,8.46
236,Shaoyang,CN,2022-03-02 14:58:09,27.2315,111.4525,56.26,77,51,3.98
237,Billings,US,2022-03-02 14:54:14,45.7833,-108.5007,48.51,68,100,5.41
238,Hamilton,US,2022-03-02 14:55:35,39.1834,-84.5333,49.75,67,10,1.99
239,Egvekinot,RU,2022-03-02 14:58:10,66.3167,-179.1667,7.77,79,1,8.57
240,Gambiran,ID,2022-03-02 14:58:11,-6.7988,111.4951,75.25,93,97,3.89
241,Muroto,JP,2022-03-02 14:58:11,33.2833,134.15,52.68,60,0,7.34
242,Kedainiai,LT,2022-03-02 14:58:11,55.2883,23.9747,41.14,52,14,3.8
243,Xining,CN,2022-03-02 14:58:12,36.6167,101.7667,30.97,47,70,3.44
244,Shirokiy,RU,2022-03-02 14:58:13,49.758,129.523,-1.17,95,18,6.76
245,Starobaltachevo,RU,2022-03-02 14:58:13,56.0013,55.9213,16.66,97,68,6.42
246,Havre-Saint-Pierre,CA,2022-03-02 14:58:13,50.2334,-63.5986,21.79,86,100,18.41
247,Bonavista,CA,2022-03-02 14:58:14,48.6499,-53.1147,27.12,66,90,12.73
248,Nhulunbuy,AU,2022-03-02 14:55:15,-12.2333,136.7667,83.01,89,100,6.91
249,Mastic Beach,US,2022-03-02 14:58:15,40.7668,-72.8521,45.5,66,27,5.01
250,Sann,PK,2022-03-02 14:58:15,26.0418,68.1378,76.91,39,0,9.22
251,Necochea,AR,2022-03-02 14:58:16,-38.5473,-58.7368,73.04,48,65,22.84
252,Zhicheng,CN,2022-03-02 14:58:16,30.2956,111.5047,57.83,66,48,3.98
253,Havre,FR,2022-03-02 14:58:16,49.5833,0.3333,55.8,50,0,4.61
254,Amga,RU,2022-03-02 14:58:17,60.8953,131.9608,-14.69,100,99,0.22
255,Jertih,MY,2022-03-02 14:58:17,5.7336,102.4897,80.47,90,87,3.94
256,Kenitra,MA,2022-03-02 14:58:18,34.261,-6.5802,65.16,47,0,10.11
257,Pangnirtung,CA,2022-03-02 14:58:18,66.1451,-65.7125,1.62,87,100,3.09
258,Kalmunai,LK,2022-03-02 14:58:19,7.4167,81.8167,76.1,87,100,8.9
259,Kruisfontein,ZA,2022-03-02 14:58:19,-34.0033,24.7314,77.88,58,0,18.41
260,Tulagi,SB,2022-03-02 14:58:19,-9.0996,160.1476,78.89,83,100,9.37
261,Bassano,CA,2022-03-02 14:58:20,50.7834,-112.4685,19.96,95,100,8.43
262,Fethiye,TR,2022-03-02 14:58:20,36.6217,29.1164,46.27,92,100,21.97
